Date,Home Team,Score,Away Team
20-12-2023,Kayserispor,3 - 4,Fenerbahce
24-12-2023,Fenerbahce,0 - 0,Galatasaray
07-01-2024,İstanbulspor,1 - 5,Fenerbahce
10-01-2024,Fenerbahce,7 - 1,Konyaspor
14-01-2024,Gaziantep BBK,0 - 1,Fenerbahce
21-01-2024,Fenerbahce,1 - 1,Samsunspor
24-01-2024,Buyuksehyr,0 - 1,Fenerbahce
28-01-2024,Fenerbahce,2 - 1,Ankaragucu
03-02-2024,Antalyaspor,0 - 2,Fenerbahce
11-02-2024,Fenerbahce,2 - 2,Alanyaspor
17-02-2024,Rizespor,1 - 3,Fenerbahce
24-02-2024,Fenerbahce,2 - 1,Kasimpasa
02-03-2024,Hatayspor,0 - 2,Fenerbahce
10-03-2024,Fenerbahce,4 - 1,Pendikspor
17-03-2024,Trabzonspor,2 - 3,Fenerbahce
03-04-2024,Fenerbahce,4 - 2,Adana Demirspor
14-04-2024,Fatih Karagümrük,1 - 2,Fenerbahce
22-04-2024,Sivasspor,2 - 2,Fenerbahce
27-04-2024,Fenerbahce,2 - 1,Besiktas
06-05-2024,Konyaspor,0 - 0,Fenerbahce
12-05-2024,Fenerbahce,3 - 0,Kayserispor
19-05-2024,Galatasaray,0 - 1,Fenerbahce
26-05-2024,Fenerbahce,6 - 0,İstanbulspor
12-08-2023,Kayserispor,0 - 0,Galatasaray
19-08-2023,Galatasaray,2 - 0,Trabzonspor
02-09-2023,Gaziantep BBK,0 - 3,Galatasaray
16-09-2023,Galatasaray,4 - 2,Samsunspor
23-09-2023,Buyuksehyr,1 - 2,Galatasaray
26-09-2023,İstanbulspor,0 - 1,Galatasaray
30-09-2023,Galatasaray,2 - 1,Ankaragucu
07-10-2023,Antalyaspor,0 - 2,Galatasaray
21-10-2023,Galatasaray,2 - 1,Besiktas
28-10-2023,Rizespor,0 - 1,Galatasaray
03-11-2023,Galatasaray,2 - 1,Kasimpasa
11-11-2023,Hatayspor,2 - 1,Galatasaray
25-11-2023,Galatasaray,4 - 0,Alanyaspor
02-12-2023,Pendikspor,0 - 2,Galatasaray
08-12-2023,Galatasaray,3 - 1,Adana Demirspor
20-12-2023,Galatasaray,1 - 0,Fatih Karagümrük
24-12-2023,Fenerbahce,0 - 0,Galatasaray
07-01-2024,Galatasaray,3 - 0,Konyaspor
11-01-2024,Sivasspor,1 - 1,Galatasaray
15-01-2024,Galatasaray,2 - 1,Kayserispor
21-01-2024,Trabzonspor,1 - 5,Galatasaray
25-01-2024,Galatasaray,3 - 1,İstanbulspor
29-01-2024,Galatasaray,2 - 1,Gaziantep BBK
02-02-2024,Samsunspor,0 - 2,Galatasaray
10-02-2024,Galatasaray,2 - 0,Buyuksehyr
18-02-2024,Ankaragucu,0 - 3,Galatasaray
26-02-2024,Galatasaray,2 - 1,Antalyaspor
03-03-2024,Besiktas,0 - 1,Galatasaray
08-03-2024,Galatasaray,6 - 2,Rizespor
17-03-2024,Kasimpasa,3 - 4,Galatasaray
02-04-2024,Galatasaray,1 - 0,Hatayspor
15-04-2024,Alanyaspor,0 - 4,Galatasaray
21-04-2024,Galatasaray,4 - 1,Pendikspor
26-04-2024,Adana Demirspor,0 - 3,Galatasaray
05-05-2024,Galatasaray,6 - 1,Sivasspor
12-05-2024,Fatih Karagümrük,2 - 3,Galatasaray
19-05-2024,Galatasaray,0 - 1,Fenerbahce
26-05-2024,Konyaspor,1 - 3,Galatasaray
13-08-2023,Fenerbahce,2 - 1,Gaziantep BBK
20-08-2023,Gaziantep BBK,1 - 3,Sivasspor
25-08-2023,Konyaspor,2 - 0,Gaziantep BBK
02-09-2023,Gaziantep BBK,0 - 3,Galatasaray
16-09-2023,Kayserispor,2 - 0,Gaziantep BBK
22-09-2023,Gaziantep BBK,2 - 0,İstanbulspor
29-09-2023,Samsunspor,1 - 2,Gaziantep BBK
07-10-2023,Buyuksehyr,2 - 0,Gaziantep BBK
21-10-2023,Gaziantep BBK,1 - 0,Antalyaspor
30-10-2023,Besiktas,2 - 0,Gaziantep BBK
06-11-2023,Gaziantep BBK,2 - 0,Rizespor
11-11-2023,Alanyaspor,0 - 3,Gaziantep BBK
25-11-2023,Gaziantep BBK,0 - 1,Ankaragucu
03-12-2023,Kasimpasa,4 - 2,Gaziantep BBK
10-12-2023,Gaziantep BBK,1 - 3,Trabzonspor
19-12-2023,Gaziantep BBK,2 - 2,Adana Demirspor
23-12-2023,Fatih Karagümrük,0 - 3,Gaziantep BBK
05-01-2024,Gaziantep BBK,2 - 2,Pendikspor
10-01-2024,Hatayspor,0 - 0,Gaziantep BBK
14-01-2024,Gaziantep BBK,0 - 1,Fenerbahce
21-01-2024,Sivasspor,2 - 2,Gaziantep BBK
